airplane,airname,citycode,cityname,country
AKU,阿克苏机场,AKU,阿克苏,中国
AAT,阿勒泰机场,AAT,阿勒泰,中国
NGQ,阿里昆莎机场,NGQ,阿里,中国
AKA,安康五里铺机场,AKA,安康,中国
AQG,天柱山机场,AQG,安庆,中国
AVA,黄果树机场,AVA,安顺,中国
AOG,鞍山腾鳌机场,AOG,鞍山,中国
RLK,巴彦淖尔天吉泰机场,RLK,巴彦淖尔,中国
NBS,长白山机场,NBS,白山,中国
AEB,巴马机场,AEB,百色,中国
BAV,海兰泡机场,BAV,包头,中国
BSD,保山机场,BSD,保山,中国
BHY,福成机场,BHY,北海,中国
PEK,首都国际机场,BJS,北京,中国
NAY,北京南苑机场,BJS,北京,中国
BFJ,毕节飞雄机场,BFJ,毕节,中国
BPL,博乐阿拉山口机场,BPL,博尔塔拉,中国
BPX,邦达机场,BPX,昌都,中国
CGD,桃花源斗姆湖机场,CGD,常德,中国
CZX,奔牛机场,CZX,常州,中国
CHG,朝阳机场,CHG,朝阳,中国
CTU,成都双流国际机场,CTU,成都,中国
JUH,池州九华山机场,JUH,池州,中国
CIF,玉龙国际机场,CIF,赤峰,中国
DAX,河市机场,DAX,达州,中国
DLU,大理机场,DLU,大理,中国
DLC,周水子国际机场,DLC,大连,中国
DQA,大庆萨尔图机场,DQA,大庆,中国
DAT,云冈机场,DAT,大同,中国
DDG,浪头机场,DDG,丹东,中国
DCY,稻城亚丁机场,DCY,稻城,中国
DIG,香格里拉机场,DIG,迪庆,中国
DOY,东营胜利机场,DOY,东营,中国
DNH,敦煌机场,DNH,敦煌,中国
DSN,鄂尔多斯伊金霍洛机场,DSN,鄂尔多斯,中国
ENH,许家坪机场,ENH,恩施,中国
FUO,沙堤机场,FUO,佛山,中国
FOC,长乐国际机场,FOC,福州,中国
FUG,阜阳西关机场,FUG,阜阳,中国
FYN,富蕴机场,FYN,富蕴,中国
GXH,甘南夏河机场,GXH,甘南,中国
KOW,黄金机场,KOW,赣州,中国
GOQ,格尔木机场,GOQ,格尔木,中国
GYU,六盘山机场,GYU,固原,中国
GYS,盘龙机场,GYS,广元,中国
CAN,新白云国际机场,CAN,广州,中国
KWE,龙洞堡机场,KWE,贵阳,中国
KWL,两江国际机场,KWL,桂林,中国
HRB,太平国际机场,HRB,哈尔滨,中国
HMI,哈密机场,HMI,哈密,中国
HAK,美兰国际机场,HAK,海口,中国
HLD,东山机场,HLD,海拉尔,中国
HDG,邯郸机场,HDG,邯郸,中国
HZG,汉中机场,HZG,汉中,中国
HGH,萧山国际机场,HGH,杭州,中国
HFE,新桥国际机场,HFE,合肥,中国
HTN,和田机场,HTN,和田,中国
HEK,黑河机场,HEK,黑河,中国
HET,白塔机场,HET,呼和浩特,中国
HJJ,芷江机场,HJJ,怀化,中国
HIA,淮安涟水机场,HIA,淮安,中国
TXN,屯溪机场,TXN,黄山,中国
HUZ,惠州平潭机场,HUZ,惠州,中国
JXA,鸡西兴凯湖机场,JXA,鸡西,中国
TNA,济南遥墙国际机场,TNA,济南,中国
JNG,济宁曲阜机场,JNG,济宁,中国
JGD,加格达奇机场,JGD,加格达奇,中国
JMU,东郊机场,JMU,佳木斯,中国
JGN,嘉峪关机场,JGN,嘉峪关,中国
JIC,金昌金川机场,JIC,金昌,中国
JNZ,小岭子机场,JNZ,锦州,中国
JGS,井冈山机场,JGS,井冈山,中国
JDZ,罗家机场,JDZ,景德镇,中国
JIU,庐山机场,JIU,九江,中国
JZH,九黄机场,JZH,九寨沟,中国
KJI,布尔津喀纳斯机场,KJI,喀纳斯,中国
KHG,喀什机场,KHG,喀什,中国
KGT,甘孜康定机场,KGT,康定,中国
KRY,克拉玛依机场,KRY,克拉玛依,中国
KCA,库车机场,KCA,库车,中国
KRL,库尔勒机场,KRL,库尔勒,中国
KMG,昆明长水机场,KMG,昆明,中国
LXA,贡嘎机场,LXA,拉萨,中国
LHW,中川机场,LHW,兰州,中国
HZH,黎平机场,HZH,黎平,中国
LJG,三义机场,LJG,丽江,中国
LLB,荔波机场,LLB,荔波,中国
LCX,龙岩冠豸山机场,LCX,连城,中国
LYG,白塔埠机场,LYG,连云港,中国
LZY,林芝米林机场,LZY,林芝,中国
LNJ,临沧机场,LNJ,临沧,中国
LFQ,临汾乔李机场,LFQ,临汾,中国
LYI,临沂沭埠岭机场,LYI,临沂,中国
LZH,白莲机场,LZH,柳州,中国
LZO,泸州蓝田机场,LZO,泸州,中国
LYA,北郊机场,LYA,洛阳,中国
NZH,满洲里西郊机场,NZH,满洲里,中国
LUM,德宏芒市机场,LUM,芒市,中国
MXZ,梅县机场,MXZ,梅州,中国
MIG,南郊机场,MIG,绵阳,中国
MDG,海浪机场,MDG,牡丹江,中国
KHN,昌北国际机场,KHN,南昌,中国
NAO,高坪机场,NAO,南充,中国
NKG,禄口国际机场,NKG,南京,中国
NNG,吴圩机场,NNG,南宁,中国
NTG,兴东机场,NTG,南通,中国
HNY,衡阳南岳机场,HNY,南阳,中国
NNY,姜营机场,NNY,南阳,中国
NGB,栎社机场,NGB,宁波,中国
PZI,保安营机场,PZI,攀枝花,中国
SYM,思茅机场,SYM,普洱,中国
NDG,三家子机场,NDG,齐齐哈尔,中国
JIQ,黔江武陵山机场,JIQ,黔江,中国
SHP,秦皇岛机场,SHP,秦皇岛,中国
TAO,青岛流亭国际机场,TAO,青岛,中国
IQN,庆阳机场,IQN,庆阳,中国
JUZ,衢州机场,JUZ,衢州,中国
JJN,泉州晋江机场,JJN,泉州,中国
RKZ,日喀则和平机场,RKZ,日喀则,中国
RIZ,日照山字河国际机场,RIZ,日照,中国
SYX,凤凰国际机场,SYX,三亚,中国
SHS,沙市机场,SHS,沙市,中国
XMN,高崎国际机场,XMN,厦门,中国
SWA,揭阳潮汕机场,SWA,汕头,中国
SHA,虹桥国际机场,SHA,上海,中国
PVG,浦东国际机场,SHA,上海,中国
SZX,宝安国际机场,SZX,深圳,中国
SHE,桃仙机场,SHE,沈阳,中国
SJW,正定机场,SJW,石家庄,中国
TCG,塔城民航机场,TCG,塔城,中国
HYN,台州路桥机场,HYN,台州,中国
TYN,武宿机场,TYN,太原,中国
TVS,唐山三女河机场,TVS,唐山,中国
TCZ,云南腾冲驼峰机场,TCZ,腾冲,中国
TSN,天津滨海国际机场,TSN,天津,中国
THQ,天水麦积山机场,THQ,天水,中国
TNH,三源浦机场,TNH,通化,中国
TGO,通辽机场,TGO,通辽,中国
TEN,铜仁凤凰机场,TEN,铜仁,中国
TLQ,吐鲁番交河机场,TLQ,吐鲁番,中国
WXN,重庆万州五桥机场,WXN,万州,中国
WEH,文登大水泊机场,WEH,威海,中国
WEF,潍坊机场,WEF,潍坊,中国
WNZ,龙湾机场,WNZ,温州,中国
WNH,文山普者黑机场,WNH,文山,中国
WUA,乌海机场,WUA,乌海,中国
HLH,乌兰浩特机场,HLH,乌兰浩特,中国
URC,地窝堡国际机场,URC,乌鲁木齐,中国
WUX,无锡硕放机场,WUX,无锡,中国
WUZ,长洲岛机场,WUZ,梧州,中国
WUT,五台山机场,WUT,五台山,中国
WUH,天河国际机场,WUH,武汉,中国
WUS,武夷山机场,WUS,武夷山,中国
XIY,咸阳国际机场,SIA,西安,中国
XIC,青山机场,XIC,西昌,中国
XNN,曹家堡机场,XNN,西宁,中国
JHG,景洪机场,JHG,西双版纳,中国
XIL,锡林浩特机场,XIL,锡林浩特,中国
XFN,刘集机场,XFN,襄阳,中国
NLT,那拉提机场,NLT,新源,中国
ACX,兴义万峰林机场,ACX,兴义,中国
XUZ,观音机场,XUZ,徐州,中国
YNT,烟台蓬莱国际机场,YNT,烟台,中国
ENY,二十里铺机场,ENY,延安,中国
YNJ,朝阳川国际机场,YNJ,延吉,中国
YNZ,南洋机场,YNZ,盐城,中国
YTY,扬州泰州机场,YTY,扬州,中国
LDS,伊春林都机场,LDS,伊春,中国
YIN,伊宁机场,YIN,伊宁,中国
YBP,莱坝机场,YBP,宜宾,中国
YIH,三峡机场,YIH,宜昌,中国
YIC,宜春明月山机场,YIC,宜春,中国
YIW,义乌机场,YIW,义乌,中国
INC,河东国际机场,INC,银川,中国
LLF,永州零陵机场,LLF,永州,中国
UYN,榆阳机场,UYN,榆林,中国
YUS,玉树巴塘机场,YUS,玉树,中国
YCU,关公机场,YCU,运城,中国
ZHA,湛江机场,ZHA,湛江,中国
DYG,荷花机场,DYG,张家界,中国
ZQZ,张家口宁远机场,ZQZ,张家口,中国
YZY,张掖甘州机场,YZY,张掖,中国
CGQ,龙嘉国际机场,CGQ,长春,中国
CSX,黄花国际机场,CSX,长沙,中国
CIH,长治王村机场,CIH,长治,中国
ZAT,昭通机场,ZAT,昭通,中国
CGO,新郑国际机场,CGO,郑州,中国
ZHY,沙坡头机场,ZHY,中卫,中国
CKG,江北国际机场,CKG,重庆,中国
HSN,普陀山机场,HSN,舟山,中国
ZUH,金湾机场,ZUH,珠海,中国
ZYI,遵义新舟机场,ZYI,遵义,中国
HTT,花土沟机场,HTT,,中国
HXD,德令哈机场,HXD,,中国
UCB,乌兰察布机场,UCB,,中国
SHF,花园机场,SHF,,中国
SQJ,沙县机场,SQJ,,中国
AHJ,阿坝红原机场,AHJ,,中国
EJN,额济纳旗机场,EJN,,中国
RHT,阿拉善右旗机场,RHT,,中国
AXF,阿拉善左旗机场,AXF,,中国
NLH,泸沽湖机场,NLH,,中国
LLV,吕梁大武机场,LLV,,中国
ERL,赛乌苏国际机场,ERL,,中国
YIE,阿尔山伊尔施机场,YIE,,中国
YKH,兰旗机场,YKH,,中国
WDS,武当山机场,WDS,,中国
HPG,神农架红坪机场,HPG,,中国
FYJ,东极机场,FYJ,,中国
LPF,月照机场,LPF,,中国
KJH,黄平机场,KJH,,中国
HCJ,河池金城江机场,HCJ,,中国
BPE,北戴河机场,BPE,,中国
HKG,香港赤腊角国际机场,HKG,香港,中国香港
MFM,澳门机场,MFM,澳门,中国澳门
BMF,巴库马机场,BMF,巴库马,中非共和国
BTG,巴坦加弗机场,BTG,巴坦加弗,中非共和国
BBY,班巴里机场,BBY,班巴里,中非共和国
BGF,班吉机场,BGF,班吉,中非共和国
BGU,班加索机场,BGU,班加索,中非共和国
BBT,贝贝拉蒂机场,BBT,贝贝拉蒂,中非共和国
IRO,比劳机场,IRO,比劳,中非共和国
BSN,博桑戈阿机场,BSN,博桑戈阿,中非共和国
BEM,博森贝莫机场,BEM,博森贝莫,中非共和国
BOZ,博佐姆机场,BOZ,博佐姆,中非共和国
BOP,布阿尔机场,BOP,布阿尔,中非共和国
BCF,布卡机场,BCF,布卡,中非共和国
BIV,布里亚机场,BIV,布里亚,中非共和国
ARI,阿里卡国际机场,ARI,阿里卡,智利
ANF,安托法加斯塔机场,ANF,安托法加斯塔,智利
ZOS,奥索尔诺机场,ZOS,奥索尔诺,智利
BBA,巴尔马塞达机场,BBA,巴尔马塞达,智利
IPC,马塔维里国际机场,IPC,复活节岛,智利
CJC,埃尔罗阿机场,CJC,卡拉马,智利
CCP,卡里尔苏尔机场,CCP,康塞普西翁,智利
LSC,拉塞雷纳机场,LSC,拉塞雷纳,智利
PMC,蒙特港机场,PMC,蒙特港,智利
PUQ,阿雷纳斯角机场,PUQ,蓬塔阿雷纳斯,智利
ESR,萨尔瓦多机场,ESR,萨尔瓦多,智利
SCL,洛斯塞里洛斯机场,SCL,圣地亚哥,智利
ZCO,特木科机场,ZCO,特木科,智利
ZAL,瓦尔迪维亚机场,ZAL,瓦尔迪维亚,智利
IQQ,伊基克机场,IQQ,伊基克,智利
AEH,阿贝歇机场,AEH,阿贝歇,乍得
ATV,阿提机场,ATV,阿提,乍得
AMC,安提曼机场,AMC,安提曼,乍得
BKR,博科罗机场,BKR,博科罗,乍得
NDJ,恩贾梅拉机场,NDJ,恩贾梅纳,乍得
NLA,恩多拉机场,NLA,恩多拉,赞比亚
KIW,基特韦机场,KIW,基特韦,赞比亚
ZKB,卡萨巴湾机场,ZKB,卡萨巴,赞比亚
KAA,卡萨马机场,KAA,卡萨马,赞比亚
LVI,利文斯通机场,LVI,利文斯通,赞比亚
LUN,卢萨卡机场,LUN,卢萨卡,赞比亚
MFU,姆富韦机场,MFU,姆富韦,赞比亚
BMV,班梅苏奥特机场,BMV,邦美蜀,越南
PXU,波来古机场,PXU,波来古,越南
VCL,褚来机场,VCL,楚莱,越南
DLI,连科杭机场,DLI,大叻,越南
VKG,拉奇吉亚机场,VKG,迪石,越南
DIN,奠边府机场,DIN,奠边府,越南
PQC,杜恩当机场,PQC,富国岛,越南
UIH,归仁机场,UIH,归仁,越南
HPH,卡特比机场,HPH,海防,越南
HAN,河内机场,HAN,河内,越南
SGN,胡志明市机场,SGN,胡志明市,越南
CAH,金瓯机场,CAH,金瓯,越南
VCS,昆仑岛机场,VCS,昆仑岛,越南
VCA,芹苴国际机场,VCA,芹苴,越南
VII,荣市机场,VII,荣市,越南
TMK,三歧机场,TMK,三歧,越南
